time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-10-15T12:54:48.407Z,60.5735,-147.4956,12.8,2.5,ml,,,,0.77,ak,ak020da5s6db,2020-10-15T13:01:26.496Z,"55 km SW of Tatitlek, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-10-15T12:31:41.700Z,17.9473,-66.9433,8,2.7,md,19,195,0.0699,0.15,pr,pr2020289005,2020-10-15T12:45:12.373Z,"4 km SW of Guánica, Puerto Rico",earthquake,0.45,0.73,0.23,13,reviewed,pr,pr
2020-10-15T11:40:30.375Z,56.0724,-149.7568,18.79,3.3,ml,,206,2.265,0.59,us,us6000c8hu,2020-10-15T21:00:42.641Z,"230 km SE of Chiniak, Alaska",earthquake,4.3,9.6,0.049,54,reviewed,us,us
2020-10-15T10:34:12.977Z,-3.2484,100.3297,25.38,4.9,mb,,130,2.843,0.77,us,us6000c8hl,2020-10-15T10:51:00.040Z,"176 km SW of Sungai Penuh, Indonesia",earthquake,9.5,6.1,0.106,28,reviewed,us,us
2020-10-15T09:56:09.434Z,56.2934,-148.8586,10,3.5,ml,,,,0.8,ak,ak020da407lc,2020-10-15T20:53:31.398Z,"254 km SE of Chiniak, Alaska",earthquake,,0,,,reviewed,ak,ak
2020-10-15T09:41:14.967Z,-3.2593,100.3226,10,5.4,mww,,46,2.845,1.12,us,us6000c8hc,2020-10-15T11:44:14.497Z,"178 km SW of Sungai Penuh, Indonesia",earthquake,4.6,1.8,0.086,13,reviewed,us,us
2020-10-15T07:54:27.320Z,17.9013,-67.1193,12,2.72,md,19,254,0.1014,0.15,pr,pr2020289003,2020-10-15T18:26:13.513Z,"10 km SE of Pole Ojea, Puerto Rico",earthquake,0.68,0.41,0.34,7,reviewed,pr,pr
2020-10-15T07:51:00.170Z,33.6503333,-87.9511667,0.07,2.55,md,13,77,0.461,0.21,se,se60115223,2020-10-15T21:41:35.220Z,"1 km W of Belk, Alabama",earthquake,0.38,1.89,0.076,11,reviewed,se,se
2020-10-15T07:00:19.348Z,-31.415,-177.7361,10,5.1,mb,,75,6.947,0.95,us,us6000c8g3,2020-10-15T07:21:01.040Z,Kermadec Islands region,earthquake,10.5,1.8,0.055,107,reviewed,us,us
2020-10-15T04:59:52.806Z,3.9133,95.7759,47.81,4.9,mb,,165,1.752,0.92,us,us6000c8fj,2020-10-15T05:13:13.040Z,"46 km WSW of Meulaboh, Indonesia",earthquake,8.8,3.3,0.106,28,reviewed,us,us
2020-10-15T04:43:25.767Z,60.0518,-152.029,55.8,2.8,ml,,,,0.51,ak,ak020da0yatg,2020-10-15T16:22:48.006Z,"20 km W of Ninilchik, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-10-15T04:29:31.631Z,31.7335,-104.0962,5,3,ml,,61,0.208,0.29,us,us6000c8f9,2020-10-15T04:47:13.040Z,"47 km W of Mentone, Texas",earthquake,0.6,1.7,0.043,70,reviewed,us,us
2020-10-15T04:26:12.686Z,-7.5864,128.0638,152.66,4.5,mb,,55,3.229,1.4,us,us6000c8fa,2020-10-15T04:40:40.040Z,"156 km NE of Lospalos, Timor Leste",earthquake,7.8,8.4,0.121,20,reviewed,us,us
2020-10-15T02:20:11.029Z,-31.5505,-68.9084,106.44,4.9,mww,,40,0.191,0.93,us,us6000c8ev,2020-10-15T05:44:25.928Z,"16 km W of Villa Basilio Nievas, Argentina",earthquake,6.8,1.7,0.086,13,reviewed,us,us
2020-10-15T01:20:28.362Z,-17.0516,-173.7905,61.78,4.8,mb,,143,4.19,0.79,us,us6000c8el,2020-10-15T01:50:24.040Z,"121 km S of Hihifo, Tonga",earthquake,14.7,10.4,0.131,18,reviewed,us,us
2020-10-15T00:39:16.150Z,17.9453,-66.8585,17,2.62,md,19,194,0.0363,0.17,pr,pr2020289000,2020-10-15T01:01:17.451Z,"4 km SE of Maria Antonia, Puerto Rico",earthquake,0.75,0.49,0.21,13,reviewed,pr,pr
2020-10-15T00:36:45.610Z,39.71,-110.7126667,-3.15,3.34,ml,25,49,0.03067,0.22,uu,uu60414477,2020-10-15T18:13:39.680Z,"8 km ENE of Kenilworth, Utah",earthquake,0.33,0.92,0.232,23,reviewed,uu,uu
2020-10-15T00:25:55.470Z,40.9513321,-124.1054993,23.36,2.59,md,20,169,0.2928,0.16,nc,nc73470916,2020-10-15T05:26:29.182Z,"1km NW of McKinleyville, CA",earthquake,0.66,3.64,0.08,7,automatic,nc,nc
2020-10-15T00:24:00.869Z,38.1622,-117.8757,8,2.7,ml,27,49.77,0.004,0.1382,nn,nn00778770,2020-10-15T17:30:00.286Z,"32 km SE of Mina, Nevada",earthquake,,0.5,0.21,15,reviewed,nn,nn
2020-10-14T23:27:32.800Z,36.9376678,-121.5376663,1.54,2.82,md,6,132,0.1874,0.18,nc,nc73470891,2020-10-15T15:28:34.710Z,"8km SSE of Gilroy, CA",earthquake,1.79,7.87,0.77,3,automatic,nc,nc
2020-10-14T23:18:26.636Z,-31.7345,-68.0802,111.39,4.5,mwr,,130,0.548,0.98,us,us6000c8dv,2020-10-15T16:50:35.084Z,"21 km ESE of Caucete, Argentina",earthquake,4.9,7.2,0.052,36,reviewed,us,us
2020-10-14T22:53:49.950Z,17.9613,-66.7383,16,2.89,md,21,183,0.1416,0.19,pr,pr2020288015,2020-10-14T23:09:52.777Z,"4 km SSW of Tallaboa, Puerto Rico",earthquake,0.62,0.46,0.18,18,reviewed,pr,pr
2020-10-14T22:22:49.901Z,35.501,26.318,10,4.1,mb,,112,0.689,1.03,us,us6000c8d3,2020-10-14T22:36:02.040Z,"34 km N of Palekastro, Greece",earthquake,2.2,1.9,0.166,10,reviewed,us,us
2020-10-14T21:43:55.940Z,36.0293333,-121.5366667,8.01,2.98,md,68,175,0.1742,0.12,nc,nc73470861,2020-10-15T12:37:30.680Z,"3km ENE of Lopez Point, CA",earthquake,0.37,0.54,0.22,60,reviewed,nc,nc
2020-10-14T21:42:41.170Z,36.0263333,-121.5443333,8.71,3.47,ml,108,177,0.1738,0.13,nc,nc73470856,2020-10-15T21:45:32.231Z,"2km ENE of Lopez Point, CA",earthquake,0.24,0.36,0.115,93,reviewed,nc,nc
2020-10-14T21:40:06.550Z,36.0271667,-121.5396667,9.44,2.95,md,87,176,0.1749,0.12,nc,nc73470851,2020-10-15T05:49:24.156Z,"3km ENE of Lopez Point, CA",earthquake,0.3,0.46,0.212,90,reviewed,nc,nc
2020-10-14T21:11:50.700Z,35.6688333,-117.5643333,5.84,2.62,ml,43,43,0.08184,0.13,ci,ci39663320,2020-10-14T23:28:43.420Z,"11km ENE of Ridgecrest, CA",earthquake,0.12,0.49,0.204,25,reviewed,ci,ci
2020-10-14T19:50:12.837Z,66.1923,-163.9579,7,3.5,ml,,,,0.65,ak,ak020d8mdxgw,2020-10-14T22:18:46.040Z,"57 km WNW of Deering, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2020-10-14T18:37:56.080Z,36.4388333,-117.9518333,7.45,2.88,ml,34,60,0.1035,0.22,ci,ci39663192,2020-10-14T20:37:27.820Z,"18km NNE of Olancha, CA",earthquake,0.23,0.71,0.151,67,reviewed,ci,ci
2020-10-14T16:33:57.303Z,53.1365,-163.5043,10,4,mb,,211,1.68,0.96,us,us6000c8az,2020-10-15T13:38:24.471Z,"186 km SE of Akutan, Alaska",earthquake,5.7,2,0.133,15,reviewed,us,us
2020-10-14T15:28:40.567Z,-9.8213,65.9272,10,5,mww,,74,20.268,0.55,us,us6000c8av,2020-10-14T16:16:01.040Z,Mid-Indian Ridge,earthquake,11.2,1.8,0.089,12,reviewed,us,us
2020-10-14T15:27:27.174Z,-59.5051,-24.6994,10,4.9,mb,,109,8.302,0.54,us,us6000c8ae,2020-10-14T15:53:09.040Z,South Sandwich Islands region,earthquake,11.6,1.9,0.094,39,reviewed,us,us
2020-10-14T15:04:14.745Z,55.5107,-158.3104,35,3.1,ml,,150,0.794,0.93,us,us6000c8a8,2020-10-14T21:16:34.040Z,"68 km SE of Perryville, Alaska",earthquake,2.3,2,0.052,48,reviewed,us,us
2020-10-14T14:42:18.925Z,66.2358,-157.3046,0,3,ml,,,,0.64,ak,ak020d8jd26u,2020-10-14T14:53:24.340Z,"72 km NW of Huslia, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-10-14T13:48:54.930Z,18.1361,-68.2001,73,3.51,md,13,215,0.419,0.36,pr,pr2020288012,2020-10-14T14:04:49.151Z,"50 km ESE of Boca de Yuma, Dominican Republic",earthquake,3.02,2.13,0.08,8,reviewed,pr,pr
2020-10-14T13:08:28.810Z,31.3695,-115.3711667,5.8,2.67,ml,7,148,0.3538,0.18,ci,ci39662744,2020-10-14T15:15:10.498Z,"97km SSW of Alberto Oviedo Mota, B.C., MX",earthquake,0.37,31.61,0.168,44,reviewed,ci,ci
2020-10-14T12:18:05.360Z,36.4248352,-120.6476669,3.96,2.8,md,27,122,0.265,0.29,nc,nc73470691,2020-10-15T00:20:29.268Z,"2km ENE of New Idria, CA",earthquake,0.58,1.96,0.19,26,automatic,nc,nc
2020-10-14T11:06:17.693Z,27.3958,54.4725,10,4.6,mb,,66,2.894,0.54,us,us6000c886,2020-10-14T11:20:40.040Z,"45 km SE of Gerāsh, Iran",earthquake,5.8,1.6,0.089,38,reviewed,us,us
2020-10-14T10:58:29.769Z,35.3869,26.2558,10,4.1,mb,,169,0.756,1.28,us,us6000c882,2020-10-14T11:14:12.040Z,"20 km N of Palekastro, Greece",earthquake,5,1.9,0.233,5,reviewed,us,us
2020-10-14T10:42:36.626Z,37.4156,141.8247,38.15,4.4,mb,,135,3.023,1.01,us,us6000c87x,2020-10-14T11:08:23.040Z,"73 km E of Namie, Japan",earthquake,4.2,8.5,0.106,26,reviewed,us,us
2020-10-14T10:17:05.078Z,15.5984,-88.6989,10,4.1,mb,,65,1.353,0.86,us,us6000c87u,2020-10-14T10:42:20.040Z,"18 km SW of Puerto Barrios, Guatemala",earthquake,5.5,2,0.109,23,reviewed,us,us
2020-10-14T09:06:56.518Z,62.2212,-124.4138,2.46,4.1,mb,,70,1.102,0.73,us,us6000c87r,2020-10-14T14:55:38.040Z,"Northwest Territories, Canada",earthquake,6.5,6.4,0.262,4,reviewed,us,us
2020-10-14T08:55:13.563Z,-30.5483,-178.9744,197.42,4.5,mb,,137,1.584,0.75,us,us6000c87p,2020-10-14T11:24:29.040Z,"Kermadec Islands, New Zealand",earthquake,10.7,10.5,0.115,22,reviewed,us,us
2020-10-14T07:58:47.250Z,17.9591,-66.7391,15,3.21,md,23,184,0.141,0.11,pr,pr2020288008,2020-10-15T05:49:58.040Z,"4 km SSW of Tallaboa, Puerto Rico",earthquake,0.46,0.37,0.19,22,reviewed,pr,pr
2020-10-14T06:56:18.562Z,14.0084,-92.1207,61.11,4.5,mb,,187,0.658,1.18,us,us6000c86y,2020-10-14T07:35:11.040Z,"38 km SW of Champerico, Guatemala",earthquake,8.4,9.6,0.033,263,reviewed,us,us
2020-10-14T06:37:48.130Z,57.0295,-137.6043,0,2.8,ml,,,,0.71,ak,ak020d8eklef,2020-10-15T05:45:21.040Z,"132 km SW of Pelican, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-10-14T06:19:18.915Z,63.5631,-147.8021,5.2,2.8,ml,,,,0.95,ak,ak020d8egnsd,2020-10-15T05:34:02.040Z,"58 km ESE of McKinley Park, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-10-14T06:15:12.280Z,17.9405,-66.9743,10,2.65,md,17,224,0.0757,0.13,pr,pr2020288006,2020-10-14T06:33:02.528Z,"7 km WSW of Guánica, Puerto Rico",earthquake,0.59,0.45,0.33,10,reviewed,pr,pr
2020-10-14T05:04:04.080Z,44.2758333,-115.2013333,10.39,2.63,ml,11,67,0.235,0.33,mb,mb80469469,2020-10-14T15:08:50.510Z,"21 km WNW of Stanley, Idaho",earthquake,0.65,1.53,0.219,10,reviewed,mb,mb
2020-10-14T05:02:11.290Z,17.92,-66.9531,13,2.65,md,20,223,0.0922,0.16,pr,pr2020288005,2020-10-14T05:35:43.275Z,"7 km SW of Guánica, Puerto Rico",earthquake,0.72,0.38,0.16,7,reviewed,pr,pr
